Supplier Name,Match1,Score1,Match2,Score2,Match3,Score3,Match4,Score4,Match5,Score5
Quantk Network Technologies,O VO Technopromexport,46,VO Technopromexport,43,Luhansk Economic Union,41,NEW EASTERN OUTLK,41,Bank Otkritie Financial,40
SIBUR PETROCON,Narodny Soyuz,44,SOVCOMBANK,42,Sberbank Public Sberbank,42,Smert Battalion,41,Somali Battalion,40
VLEAT,VTB,50,Dobrolet,46,Death Battalion,40,VO TPE,36,Tactical Missiles,36
Repacklik,Prizrak Brigade,42,Donetsk Republic,40,Rostec,40,GEOPOLITICA,40,Genbank,38
AVS LOGISTIC,Rostec,44,GEOPOLITICA,43,IS Bank,42,Donbas People s Militia,40,First Crimean Insurance,40
Orlov Roman Nikolaevich,First Crimean Insurance,43,Z Interavtomatika IA,42,Interavtomatika,42,VTB Bank Public,42,SOVCOMBANK,42
Avto Service,Smert Battalion,52,VO TPE,44,ORIENTAL REVIEW,44,Somali Battalion,43,Sparta Battalion,43
PM LOGISTIKS,Mostotrest P,50,Mostotrest,45,GEOPOLITICA,43,Otkritie,40,Mir Luganschine,37
En Way Kay Auto Logistics,Kalmius Battalion,48,Prizrak Battalion Ghost Brigade,43,Z Interautomatica,43,Prizrak Battalion Ghost Battalion,41,Oplot Battalion,40
Stone Materials,Vostok Battalion,52,Integral,52,ROSNEFT AERO,52,Mostotrest Mostotrest,50,NEW EASTERN OUTLK,50
Project Zebra,ROSNEFT AERO,56,Promsvyazbank,46,Oplot Battalion,43,Prizrak Brigade,43,Rostec,42
Branch 11 Gorenergosbyt MOEK,Bank Rossiya,40,The Great Don Army,39,Battalion Gvardeysky,38,Sberbank Public Sberbank,38,Federativnoye Gosudarstvo Novorossiya,37
Atlant,Almaz Antey,59,Death Battalion,48,Smert Battalion,48,Oplot Battalion,48,Sparta Battalion,45
Industrial and Trading,Industrial Savings Bank,80,Industrialny Sberegatelny Bank,62,Bank Otkritie Financial,53,Gas Industry Insurance Company SOGAZ,52,Russian National Commercial Bank,44
UK Sag,Bank Rossiya,44,UAC,44,USC,44,Sberbank,43,Bank of Russia,40
Directorate,United Aircraft,54,Interavtomatika,46,Z Interautomatica,43,Dobrolet,42,Integral,42
Agency Clothing for work,Internet Research Agency,50,Mir Luganschine,41,Sparkling Wine Plant Novy Svet,41,Army of the South East,39,Concern Almaz Antey,37
Deloit and Tsush CIS,Black Sea Bank Development and Reconstruction,43,The Great Don Army,42,First Crimean Insurance,42,Bank Otkritie Financial,42,Black Sea Bank for Development and Reconstruction,41
Project Installation,Oplot Battalion,57,Sparta Battalion,56,Death Battalion,51,Smert Battalion,51,Vostok Battalion,50
Firm Ecology Plus,Luhansk Economic Union,41,Internet Research Agency,39,Mir Luganschine,38,Federal State of Novorossiya,36,Free Donbas,36
AL YANSSTROY,Almaz Antey,61,Zaliv Shipyard,46,So called Luhansk Guard,46,So called Lugansk Guard,46,Concern Almaz Antey,45
NET BAY NET HOLDING,The Great Don Army,54,Sparkling Wine Plant Novy Svet,49,United Shipbuilding,47,Internet Research Agency,47,ROSNEFT AERO,45
Media Solutions,People s Union,48,Death Battalion,47,Smert Battalion,47,Peace To Luhansk Region,47,Mir Luganschine,47
Sisies Auto Transport Plus,Sberbank of Russia,45,State Enterprise Sevastopol Commercial Seaport,44,Lenpromtransproyekt,44,Mostotrest Mostotrest,43,Tactical Missiles,42
MUP BCS,UAC,40,USC,40,CB IS Bank,35,Donbas People s Militia,33,Free Donbas,33
Gazprom Mezhregiongaz,Peace To Luhansk Region,45,Resort Nizhnyaya Oreanda,40,Prizrak Brigade,39,Army of the Southeast,38,Russian National Commercial Bank,38
Infosystem,Rostec,50,Integral,44,Mostotrest,40,Interavtomatika,40,VO TPE,38
Unified Electronic Trading,Luhansk Economic Union,54,United Shipbuilding,49,Federal United Enterprise Crimea Railway,45,United Aircraft,44,People s Union,40
Shtantaev Imanali Magomedovich,Movement Novorossiya of Ignor Strelkov,44,State enterprise Universal Avia,43,Movement Novorossiya of Igor Strelkov,42,Russian National Commercial Bank,42,First Crimean Insurance,42
ASG Records Management,Concern Almaz Antey,49,Black Sea Bank Development and Reconstruction,45,Resort Nizhnyaya Oreanda,43,Black Sea Bank of Development and Reconstruction,43,Internet Research Agency,43
Relayter,ROSNEFT AERO,50,Dobrolyot,47,Rostec,43,Almaz Antey,42,NEW EASTERN OUTLK,40
Comprehensive Solutions,Luhansk Economic Union,49,People s Union,49,Luganskiy Ekonomicheskiy Soyuz,42,Army of the Southeast,41,Free Donbas,41
Kolkiper Ru,O VO TPE,42,Bank of Russia,40,Russia Bank,36,Donbas People s Militia,35,VO TPE,35
EYCHPI,Rostec,33,VO Technopromexport,32,United Shipbuilding,32,O VO Technopromexport,30,People s Union,30
ILSA RU,Russia Bank,44,Bulwark,43,IS Bank,43,Sberbank of Russia,40,Zaliv Shipyard,38
Arm Service,Rostec,47,ORIENTAL REVIEW,46,Army of the Southeast,44,The Great Don Army,41,First Crimean Insurance,41
ANO DPO Training Center Maeb,Federal United Enterprise Crimea Railway,44,Industrial Savings Bank,43,Z Interavtomatika IA,42,Interavtomatika,42,Feodosia Enterprise of oil,41
Dublgis,Donetsk Republic,43,IS Bank,43,Dobrolet,40,USC,40,Dobrolyot,38
Veshova,Vneshekonombank,55,SOVCOMBANK,47,Sovkombank,47,Zaliv Shipyard,38,Vostok Battalion,35
Mironov Innokentiy Aleksandrovich,Mir Luganschine,50,ROSNEFT AERO,44,Internet Research Agency,42,Luganskiy Ekonomicheskiy Soyuz,41,Azovsky likerovodochny zavod,39
MUP Vidnovskoe PTO GC,Mostotrest P,42,Donetsk Republic,38,O VO Technopromexport,38,So called Donetsk People s Republic,36,VO Technopromexport,35
Law Company Clover,SOVCOMBANK,50,Almaz Antey Defense,43,Lenpromtransproyekt,43,Sovkombank,43,Almaz Antey,41
ATS Kiev,Otkritie,50,VO TPE,43,United Aircraft,43,Free Donbas,42,Free Donbass,40
EMGIKOM,Interavtomatika,36,Vneshekonombank,36,Sovkombank,35,VO TPE,31,Z Interavtomatika IA,30
IMATA,Interavtomatika,50,Z Interautomatica,45,Smert Battalion,40,Z Interavtomatika IA,40,Almaz Antey,38
Marinych N N,The Great Don Army,40,Narodny Soyuz,40,Almaz Antey Defense,39,Industrialny Sberegatelny Bank,38,Aktsionernoe Obshchestvo Genbank,36
GETRESPONS RUS,Free Donbass,46,Mostotrest Mostotrest,46,ROSNEFT AERO,46,The Great Don Army,44,Sberbank of Russia,44
RAPPORTO,VO Technopromexport,44,Rostec,43,O VO Technopromexport,41,ROSNEFT AERO,40,Dobrolet,38
FLATEK,Almaz Antey,47,Bulwark,46,TPE,44,NEW EASTERN OUTLK,35,Rostec,33.333333333333336
Multi Food,GEOPOLITICA,48,Dobrolet,44,Dobrolyot,42,UralVagonZavod,42,Sobol,40
Salavei,Almaz Antey,44,Somali Battalion,43,Zaliv Shipyard,38,UralVagonZavod,38,Smert Battalion,36
Seo Intellect,Internet Research Agency,49,Integral,48,People s Union,44,Interavtomatika,43,VO TPE,42
Grand,Genbank,50,Sberbank,46,Integral,46,RDIF,44,UralVagonZavod,42
All Russian public organ,So called Lugansk People s Republic,58,Sberbank Public Sberbank,58,Russia Bank,57,Bank of Russia,53,So called Donetsk People s Republic,51
4 pixel,VO TPE,46,TPE,40,O VO TPE,40,Integral,40,United Shipbuilding,31
Baer Maksposter,ROSNEFT AERO,52,Rostec,48,So called Luhansk Guard,42,So called Lugansk Guard,42,Concern Almaz Antey,41
Mindboks,Genbank,40,IS Bank,40,Dobrolet,38,ZELENODOLSK SHYARD,38,Dobrolyot,35
Bastion Techno,Death Battalion,62,Vostok Battalion,60,Smert Battalion,55,Oplot Battalion,55,Somali Battalion,53
Uninterruptible Organization,Z Interautomatica,49,Interavtomatika,47,Foreign Economic Association Technopromexport,44,Federal United Enterprise Crimea Railway,44,Smert Battalion,42
Tompro,TPE,44,Dobrolet,43,Dobrolyot,40,VO Technopromexport,40,Smert Battalion,38
SK INTER,Integral,62,Interavtomatika,52,Otkritie,50,Z Interautomatica,48,Internet Research Agency,44
Edible shop of Efimov,Feodosia Enterprise of oil,47,Federal State of Novorossiya,45,Movement Novorossiya of Igor Strelkov,38,Army of the South East,37,Movement Novorossiya of Ignor Strelkov,37
Mobile Videos,ORIENTAL REVIEW,50,O VO TPE,48,People s Union,44,Free Donbas,42,VO TPE,42
RTL,Rostec,44,Dobrolet,36,Otkritie,36,Integral,36,VTB,33.333333333333336
GETTACTION RUS,Kalmius Battalion,58,Smert Battalion,55,Zarya Battalion,55,Somali Battalion,53,Sparta Battalion,53
SEFCO,Rostec,55,USC,50,ROSNEFT AERO,47,Sobol,40,SOVCOMBANK,40
Yandex Taxi,Death Battalion,46,Zarya Battalion,46,Almaz Antey,45,Battalion Gvardeysky,45,Almaz Antey Defense,40
WINNER PARTNERS,First Crimean Insurance,47,Sparkling Wine Plant Novy Svet,44,NEW EASTERN OUTLK,44,ROSNEFT AERO,44,Integral,43
KASTOM KARS,Mostotrest,48,Interavtomatika,46,Battalion Gvardeysky,45,Army of the South East,42,Cossack National Guard,42
Green Service Artflora,Smert Battalion,49,ORIENTAL REVIEW,49,Somali Battalion,42,Federativnoye Gosudarstvo Novorossiya,41,Aktsionernoe Obshchestvo Genbank,41
UK ATSOLIN TRANSLYT,Zarya Battalion,47,Sparta Battalion,46,Battalion Gvardeysky,46,Vostok Battalion,46,Mostotrest P,45
SERVISSUKUK business,Sberbank of Russia,42,Smert Battalion,40,Mir Luganschine,40,Prizrak Brigade,40,Interavtomatika,40
United Logistics,United Aircraft,58,United Shipbuilding,51,Luhansk Economic Union,42,Z Interautomatica,42,Otkritie,42
Nevamotors,Mostotrest,60,Mostotrest P,55,Interavtomatika,40,Mostotrest Mostotrest,39,VO TPE,38
North West,Mostotrest,50,Army of the Southeast,45,Mostotrest P,45,Army of the South East,44,Otkritie,44
Favorit Motors f,Mostotrest Mostotrest,54,Mostotrest,46,Stroygazmontazh Most SGM MOST,40,ORIENTAL REVIEW,39,Federal State of Novorossiya,36
Fedorovich Danil Igorevich,ORIENTAL REVIEW,49,The Great Don Army,41,Movement Novorossiya of Ignor Strelkov,41,Movement Novorossiya of Igor Strelkov,41,Resort Nizhnyaya Oreanda,40
Comfort,Chernomorneftegaz,50,Mostotrest,47,VO Technopromexport,46,O VO Technopromexport,43,Mostotrest P,42
Introd,Integral,57,Interavtomatika,48,Z Interautomatica,43,Narodny Soyuz,42,Z Interavtomatika IA,38
KOMUS,USC,50,Bank of Russia,42,Sovkombank,40,Russia Bank,38,Kalmius Battalion,36
Atri,Otkritie,50,RDIF,50,Russia Bank,40,Bank Rossiya,38,Bulwark,36
Company UNITY,Luhansk Economic Union,51,United Aircraft,50,People s Union,44,United Shipbuilding,44,Unit 08806,43
advertising group Loki Center,NEW EASTERN OUTLK,43,Oplot Battalion,41,State enterprise Universal Avia,40,Crimean Republican Enterprise Azov Distillery Plant,38,Integral,38
CREDITIT,Otkritie,50,RDIF,50,GEOPOLITICA,42,First Crimean Insurance,39,Dobrolet,38
Lindstrem,Integral,47,Death Battalion,42,Smert Battalion,42,Mostotrest,42,Interavtomatika,42
Belov International Group,Cossack National Guard,55,Z Interavtomatika IA,49,Stroygazmontazh Corporation SGM Group,48,Z Interautomatica,48,Interavtomatika,45
key,Otkritie,36,TPE,33,Almaz Antey,29,Bank Rossiya,27,VO TPE,22
Agency of Business Results,Internet Research Agency,56,NEW EASTERN OUTLK,47,Bank of Russia,45,So called Donetsk People s Republic,43,Donetsk Republic,43
FAYS TU FASE,Army of the South East,41,NEW EASTERN OUTLK,41,People s Union,38,Zarya Battalion,37,Army of the Southeast,36
AST BROKER,Free Donbas,48,IS Bank,47,Free Donbass,45,ROSNEFT AERO,45,Dobrolet,44
Art Megapolis,Sparta Battalion,48,Integral,48,ZELENODOLSK SHYARD,45,Zaliv Shipyard,44,First Crimean Insurance,44
Certification Center,Smert Battalion,46,Interavtomatika,46,Cossack National Guard,43,Feodosia Enterprise of oil,43,Z Interautomatica,43
Ivanova Tatiana Dmitrievna,Tactical Missiles,47,Federal State of Novorossiya,44,Z Interavtomatika IA,43,Russian Direct Investment Fund,43,Movement Novorossiya of Ignor Strelkov,41
TTS AUTO,Mostotrest,44,Mostotrest Mostotrest,41,Z Interautomatica,40,IS Bank,40,ROSNEFT AERO,40
