,0,1,2,3,4
" ""Mobi-Complex""","(""Sobol'"", 71.11111111111111)","('Dobrolet', 68.05555555555557)","('O ""VO TPE""', 68.05555555555557)","("" 'VO TPE'"", 66.66666666666666)","(' ""VO Technopromexport""', 61.25730994152047)"
" ""Hekek""","("" 'The Berkatit-Tommot-Yakutsk Railway Line's Construction Directorate'"", 62.48756218905472)","('Donetsk Republic', 59.583333333333336)","('The Great Don Army', 58.88888888888889)","(""So-called 'Lugansk People's Republic'"", 56.19047619047619)","(' Genbank', 56.19047619047619)"
" ""NPK-FPB""","('Donetsk Republic', 67.55952380952381)","('Prizrak Brigade', 61.269841269841265)","('P Promsvyazbank', 61.269841269841265)","(""State Unitary Enterprise of the 'Republic of Crimea' 'UNIVERSAL-AVIA'"", 59.42612942612943)","(""State Unitary Enterprise of the 'Republic of Crimea' 'Chernomorneftegaz'"", 59.29038281979459)"
" GK ""GEOPLA""","('Bank Rossiya', 59.25925925925925)","('Bank of Russia', 57.67195767195767)","(""People's Union"", 57.08994708994709)","('Donetsk Republic', 56.94444444444443)","('O ""VO TPE""', 56.481481481481474)"
" ""I-ES-SI""","('Tactical Missiles Corporation ', 65.1888341543514)","('Bank Rossiya', 63.49206349206349)","('Movement Novorossiya of Ignor Strelkov', 63.28320802005013)","(""People's Union"", 62.38095238095238)","(' \'Foreign Economic Association\' ""Technopromexport""', 62.32804232804233)"
" ""Interlaken-Rus""","(' Integral', 84.64285714285714)","('Integral', 84.64285714285714)","('P Integral', 68.57142857142856)","('Industrialny Sberegatelny Bank', 68.47374847374846)","('P Sberbank of Russia', 66.05820105820106)"
" ""PPS""","(""People's Union"", 76.42857142857143)","('P Promsvyazbank', 76.0)","('P USC', 68.88888888888887)","('P Mostotrest', 61.11111111111111)","('P SOVCOMBANK', 61.11111111111111)"
" ""ECC"" Independence ""","('Black Sea Bank Development and Reconstruction', 60.96560846560847)","('Black Sea Bank of Development and Reconstruction', 60.31746031746032)","('Black Sea Bank for Development and Reconstruction', 60.11904761904761)","(' Black Sea Bank for Development and Reconstruction', 60.11904761904761)","(""Federal State Budget Institution for Science and Research 'All-Russia National Scientific Research Institute for Wine Growing and Wine Making 'MAGARACH' Russian Academy of Sciences'"", 58.51930320150659)"
" ""Live Site""","(' Zaliv Shipyard', 69.84126984126982)","('Mir Luganschine', 63.33333333333333)","('Luganskiy Ekonomicheskiy Soyuz', 62.27513227513227)","(' ""United Shipbuilding Corporation""', 62.0242362177846)","('Russian National Commercial Bank', 61.789021164021165)"
Notary of the notarial district of St.,"(""State Unitary Enterprise of the 'Republic of Crimea' 'Chernomorneftegaz'"", 68.68839427662957)","(""State Unitary Enterprise of the Crimean Republic 'Crimean Sea Ports'"", 67.60851760851762)","(""State Enterprise 'Magarach' of the National Institute of Wine"", 67.48672900218264)","(""State Unitary Enterprise of the City of Sevastopol 'Sevastopol Sea Port'"", 67.16788216788217)","(' ""United Aircraft Corporation""', 66.67728334395001)"
" ""Rosenergo""","('Rostec', 79.25925925925927)","("" 'Mostotrest'"", 61.851851851851855)","(' ""VO Technopromexport""', 60.526315789473685)","('Free Donbas', 60.336700336700346)","(' Research and Production Corporation UralVagonZavod', 59.96296296296296)"
" ""Security Enterprise"" Codas ""","(""State enterprise 'Universal-Avia'"", 66.50537634408603)","('Separate Artillery Brigade of the 1st Army Corps', 65.82323232323232)","('First Crimean Insurance Company', 65.06168647425015)","(' Feodosia Enterprise of oil', 64.76282051282053)","(""'Federativnoye Gosudarstvo Novorossiya'"", 64.6846846846847)"
" ""Volkswagen Group Rus""","('So-called ""Lugansk Guard""', 65.05175983436854)","('Sberbank of Russia', 64.44444444444444)","('Bank of Russia', 63.80952380952382)","('VEB.RF', 62.22222222222222)","('So-called ""Luhansk Guard""', 61.020066889632105)"
" ""Trading House Master-Skud""","('The Great Don Army', 69.71296296296296)","('Russian Direct Investment Fund', 68.8888888888889)","('So-called ""Luhansk Guard""', 66.91219096334186)","('So-called ""Lugansk Guard""', 66.91219096334186)","('C VAD Aktsionernoe Obshchestvo VAD', 64.6078431372549)"
" ""New Cable Networks""","('Peace To Luhansk Region', 65.26340004600874)","('Black Sea Bank Development and Reconstruction', 64.39814814814815)","('Free Donbas', 64.05723905723906)","('Aktsionernoe Obshchestvo Genbank', 63.402777777777786)","('Almaz-Antey Corp', 62.68518518518519)"
" ""DTS Altufievo""","('Death Battalion', 63.29059829059829)","('Smert Battalion', 63.29059829059829)","('Vostok Battalion', 62.17948717948718)","('Battalion Gvardeysky', 60.299145299145295)","(""'Federal State of Novorossiya'"", 59.482184482184486)"
" ""Planap""","('Oplot Battalion', 64.44444444444444)","(""Federal State Budgetary Enterprise 'Production-Agrarian Union 'Massandra' of the Administration of the President of the Russian Federation"", 62.59259259259259)","(""' 'Sparkling Wine Plant Novy Svet'"", 62.22222222222222)","('P Sberbank (Public  Sberbank)', 60.68376068376068)","('VTB Bank (P)', 60.0)"
 Meshchersky Igor Gennadevich,"('Aktsionernoe Obshchestvo Genbank', 66.30952380952381)","(""P 'Chernomorneftegaz'"", 62.65664160401002)","('Sberbank of Russia', 61.5079365079365)","('Peace To Luhansk Region', 60.9860248447205)","(""So-called 'Lugansk People's Republic'"", 60.79365079365079)"
 Slobodyan Roman,"('Svobodny Donbass', 74.44318181818183)","('Dobrolyot', 70.05291005291005)","(""Sobol'"", 64.44444444444444)","('Stroygazmontazh Corporation (SGM Group)', 62.477477477477485)","('Sberbank of Russia', 61.75925925925926)"
 Lemdyaev Bogdan Andreevich,"('Almaz-Antey Corp', 64.26282051282051)","('Almaz-Antey Defense Corporation', 64.08732749989116)","('C VAD Aktsionernoe Obshchestvo VAD', 63.58220211161388)","(' Almaz-Antey Corporation', 63.19212188777406)","('Black Sea Bank Development and Reconstruction', 61.52625152625152)"
" ""LT Center""","('Almaz-Antey ', 67.003367003367)","(""P 'Chernomorneftegaz'"", 66.77805625174045)","('Russian Direct Investment Fund', 63.51851851851852)","(' TPE', 62.96296296296296)","('Peace To Luhansk Region', 62.05716586151369)"
 Kryuchkova Maria Alekseevna,"('Zarya Battalion', 62.26711560044893)","('Donetskaya Narodnaya Respublika', 61.94743130227002)","('C VAD Aktsionernoe Obshchestvo VAD', 61.18373275236021)","('25 January Committee', 60.79297245963913)","('So-called ""Luhansk Guard""', 60.257648953301135)"
 Mednov Sergey Nikolaevich,"('Aktsionernoe Obshchestvo Genbank', 64.42324561403508)","(""'Federativnoye Gosudarstvo Novorossiya'"", 63.50308202939782)","('Peace To Luhansk Region', 63.27173913043479)","('Donetsk Republic', 63.222222222222214)","('Movement ""Novorossiya"" of Igor Strelkov', 63.01801801801802)"
" ""Energy Repair","('P Integral', 63.16239316239316)","('Separate Artillery Brigade of the 1st Army Corps', 61.32478632478633)","(""State enterprise 'Universal-Avia'"", 61.245206406496735)","('Industrialny Sberegatelny Bank', 60.085470085470085)","("" 'Lenpromtransproyekt'"", 59.547908232118765)"
" ""Eco Service Line""","('Aktsionernoe Obshchestvo Genbank', 63.70192307692307)","(' Feodosia Enterprise of oil', 62.60683760683761)","(""State Enterprise 'Sevastopol Commercial Seaport'"", 62.11956521739131)","(""State enterprise 'Universal-Avia'"", 61.574648469809766)","(""Federal United Enterprise 'Crimea Railway'"", 60.99358974358974)"
" ""Energok Ltd""","('Donetsk Republic', 68.2449494949495)","('Dobrolet', 62.651515151515156)","('Concern Almaz-Antey', 62.064251537935746)","('The Great Don Army', 59.890572390572395)","('P Integral', 58.484848484848484)"
" ""Expert""","("" 'Lenpromtransproyekt'"", 62.57309941520468)","(' Feodosia Enterprise of oil', 60.85470085470086)","('P Integral', 60.55555555555555)","(""'Federal State of Novorossiya'"", 60.317460317460316)","(""State enterprise 'Universal-Avia'"", 59.820788530465954)"
 Romashin Vasily Aleksandrovich,"('Russian National Commercial Bank', 67.05808080808082)","('Russia Bank', 66.9023569023569)","('Cossack National Guard', 66.21509209744504)","('Luganskiy Ekonomicheskiy Soyuz', 64.44444444444444)","('Battalion Gvardeysky', 63.888888888888886)"
" ""Sprut""","('Fedosia Oil Products Supply Company', 71.42857142857143)","('Sparta Battalion', 68.33333333333333)","(""State enterprise 'Universal-Avia'"", 65.3763440860215)","(' Research and Production Corporation UralVagonZavod', 63.33333333333334)","('Separate Artillery Brigade of the 1st Army Corps', 62.77777777777778)"
" ""ZChP-1""","(' Zaliv Shipyard', 56.74603174603175)","('Stroygazmontazh-Most  (SGM-MOST )', 53.44827586206896)","('Stroygazmontazh Corporation (SGM Group)', 52.28228228228229)","(' CB IS Bank', 51.11111111111111)","('P Integral', 51.11111111111111)"
" ""Jedip-Auto""","('P UAC', 63.33333333333333)","('Z Interautomatica', 60.86834733893558)","('Fedosia Oil Products Supply Company', 60.79365079365079)","('The Great Don Army', 58.88888888888889)","(' Research and Production Corporation UralVagonZavod', 58.22222222222222)"
" ""MEDEXPRESS-SERVICE""","(""State enterprise 'Universal-Avia'"", 62.40826079535756)","(""'Federal State of Novorossiya'"", 60.73833573833575)","(' Feodosia Enterprise of oil', 59.82905982905983)","(""State Enterprise 'Sevastopol Commercial Seaport'"", 58.64734299516908)","(""Federal United Enterprise 'Crimea Railway'"", 57.984330484330485)"
 Egorova Daria Vladimirovna,"(""'Federativnoye Gosudarstvo Novorossiya'"", 64.88961488961489)","('Donetskaya Narodnaya Respublika', 63.6038534520508)","('Z Interavtomatika (IA)', 62.71062271062271)","('The Great Don Army', 62.60683760683761)","('RDIF', 62.17948717948718)"
AVTO-EM ,"("" 'VO TPE'"", 78.25396825396825)","(' ""VO Technopromexport""', 66.87552213868003)","(""C 'Interavtomatika'"", 66.1064425770308)","('VTB', 65.07936507936508)","('O ""VO TPE""', 64.64285714285715)"
" ""UK"" Glavkoptorg ""","('UralVagonZavod', 61.904761904761905)","('UAC', 60.317460317460316)","('Peace To Luhansk Region', 60.31432335780161)","('O ""VO TPE""', 59.404761904761905)","('P Mostotrest', 59.12698412698413)"
" ""Audi Center Warszavka""","('Industrialny Sberegatelny Bank', 64.0079365079365)","('Industrial Savings Bank', 63.94064872325741)","('Almaz-Antey Defense Corporation', 62.16077828981055)","('Battalion Gvardeysky', 61.269841269841265)","('Z Interavtomatika (IA)', 61.269841269841265)"
" ""Hurmann Russia""","('Sberbank of Russia', 75.66137566137566)","('Russia Bank', 72)","('Bank of Russia', 68.78306878306879)","('Bank Rossiya', 66.26984126984127)","('P Sberbank of Russia', 63.80952380952382)"
" ""PNP SIGNUR""","(""People's Union"", 68.57142857142856)","('P Integral', 67.77777777777777)","('P United Shipbuilding Corporation', 66.76767676767676)","('P USC', 63.33333333333333)","(' ""United Shipbuilding Corporation""', 61.899641577060926)"
TD  Rival North-West,"(""Prizrak Battalion 'Ghost' Brigade"", 66.10780984719864)","('Battalion Gvardeysky', 63.274853801169584)","('The Great Don Army', 62.729044834308)","('Army of the Southeast', 62.322472848788635)","(""' 'Sparkling Wine Plant Novy Svet'"", 61.54553049289891)"
" ""PEK""","('P Sberbank of Russia', 74.5)","('P Sberbank (Public  Sberbank)', 73.46153846153847)","(' TPE', 67)","('P Integral', 62.22222222222222)","(""People's Union"", 60.317460317460316)"
" ""Ultraplastik""","('Bulwark', 64.36507936507937)","(""Prizrak Battalion 'Ghost' Brigade"", 61.86379928315412)","(""C 'Interavtomatika'"", 61.74136321195145)","(""Prizrak Battalion 'Ghost' Battalion"", 61.21212121212122)","(' TPE', 61.11111111111111)"
" ""KEKH ECOMMETS""","(' ""VO Technopromexport""', 59.547908232118765)","("" 'The Berkatit-Tommot-Yakutsk Railway Line's Construction Directorate'"", 58.96160224518434)","('Peace To Luhansk Region', 58.342623560014864)","('25 January Committee', 58.18681318681319)","(""P 'Chernomorneftegaz'"", 57.38491527965211)"
 Bolnov Sergey Sergeevich,"(""Sobol'"", 66.94444444444444)","('Aktsionernoe Obshchestvo Genbank', 62.88807189542484)","(""So-called Donetsk People's Republic"", 60.37698412698413)","(""So-called 'Lugansk People's Republic'"", 60.37698412698413)","('Bank of Russia', 59.85449735449735)"
" ""AVTEKSPERT""","(' TPE', 62.22222222222222)","('VTB', 62.22222222222222)","(' Zaliv Shipyard', 61.904761904761905)","("" 'VO TPE'"", 60.55555555555555)","(""State enterprise 'Universal-Avia'"", 60.26881720430107)"
" ""Lubricovka Technologies""","('Aktsionernoe Obshchestvo Genbank', 63.355475040257645)","('Peace To Luhansk Region', 63.04347826086957)","("" 'VO TPE'"", 61.69082125603865)","('Mir Luganschine', 61.598594642072904)","(""Prizrak Battalion 'Ghost' Battalion"", 61.41724146839236)"
" ""K.S. Buro""","('Bank of Russia', 69.64285714285715)","('Sberbank of Russia', 64.81481481481481)","('P Sberbank of Russia', 59.88095238095238)","('C VAD Aktsionernoe Obshchestvo VAD', 59.83893557422969)","('Donetsk Republic', 59.72222222222222)"
Alef Trade,"('The Great Don Army', 66.48148148148148)","('Almaz-Antey ', 65.95959595959596)","('Battalion Gvardeysky', 65.0)","(' Zaliv Shipyard', 62.06349206349206)","(' Almaz-Antey Corporation', 62.04968944099378)"
" ""Loki-Digital""","('Kalmius Battalion', 62.908496732026144)","('Otkritie', 61.38888888888889)","(' Integral', 61.11111111111111)","('Integral', 61.11111111111111)","('Somali Battalion', 59.72222222222222)"
" ""EYCH AR SALYUSHNZ""","(""Resort 'Nizhnyaya Oreanda'"", 62.41830065359477)","('Concern Almaz-Antey', 62.07899427713669)","('Narodny Soyuz', 61.19909502262444)","('Army of the South-East', 61.155674390968514)","(' CB IS Bank', 59.54248366013072)"
" FIRM ""OSSAR +"" MOSCOW BANK","(' Promsvyazbank', 66.34291634291635)","('P SOVCOMBANK', 66.26262626262626)","('P Promsvyazbank', 64.04040404040404)","('Army of the Southeast', 62.229437229437224)","('C VAD Aktsionernoe Obshchestvo VAD', 62.03208556149732)"
Separate division,"('Sparta Battalion', 73.39705882352942)","('Smert Battalion', 68.49673202614377)","(' Feodosia Enterprise of oil', 66.42031171442936)","('Separate Artillery Brigade of the 1st Army Corps', 65.74463118580766)","('Industrial Savings Bank', 64.84359630139681)"
" ""Eco-Analytical Firm","('Cossack National Guard', 68.145012881855)","(""C 'Interavtomatika'"", 66.80426556587547)","('Concern Almaz-Antey', 66.12685560053981)","('Z Interautomatica', 64.0264877880977)","('Almaz-Antey Corp', 63.42703349282296)"
" ""Ellogistik""","('Otkritie', 63.33333333333333)","('Somali Battalion', 60.27777777777777)","('Kalmius Battalion', 59.80392156862745)","(""' 'Sparkling Wine Plant Novy Svet'"", 58.51851851851851)","(""Federal State Budget Institution for Science and Research 'All-Russia National Scientific Research Institute for Wine Growing and Wine Making 'MAGARACH' Russian Academy of Sciences'"", 57.62084118016322)"
" ""GEN STAR""","(' Genbank', 69.04761904761904)","('P Integral', 67.22222222222221)","("" 'Lenpromtransproyekt'"", 63.30409356725147)","('VEB.RF', 62.5)","(' Feodosia Enterprise of oil', 61.95054945054945)"
" ""INVEST-STANKO""","('Vostok Battalion', 67.752849002849)","('IS Bank', 66.17826617826617)","(' Genbank', 63.296703296703306)","(' CB IS Bank', 63.16239316239316)","('Russia Bank', 62.97036297036297)"
TTS Tultehnik Systems ,"("" 'Institute Giprostroymost - Saint-Petersburg'"", 67.27964898696607)","(""Mostotrest;  'Mostotrest'"", 64.34676434676435)","("" 'The Berkatit-Tommot-Yakutsk Railway Line's Construction Directorate'"", 60.02961383558399)","('Stroygazmontazh-Most  (SGM-MOST )', 59.74274767378215)","('Russian Direct Investment Fund', 59.20634920634921)"
" ""Kolliers International""","('Russian National Commercial Bank', 68.2449494949495)","('Somali Battalion', 67.29312354312354)","(""' 'Sparkling Wine Plant Novy Svet'"", 66.21509209744504)","('Kalmius Battalion', 65.69998628822158)","('Smert Battalion', 64.29292929292929)"
STROYGRUP ,"('Stroygazmontazh Corporation (SGM Group)', 82.10210210210211)","("" 'Institute Giprostroymost - Saint-Petersburg'"", 62.87262872628726)","('Stroygazmontazh-Most  (SGM-MOST )', 62.45210727969348)","('Sberbank of Russia', 61.111111111111114)","(""State Unitary Enterprise of the 'Republic of Crimea' 'UNIVERSAL-AVIA'"", 58.73219373219373)"
" ""Halllow WORD!""","('Battalion Gvardeysky', 60.0)","(' Zaliv Shipyard', 59.12698412698413)","('UralVagonZavod', 59.12698412698413)","('Almaz-Antey Corp', 57.63888888888889)","('Bulwark', 55.15873015873015)"
" ""Media Boutique""","('Smert Battalion', 61.82539682539683)","('Prizrak Brigade', 60.95238095238095)","('Mir Luganschine', 60.79365079365079)","('Somali Battalion', 60.71428571428571)","('Z Interautomatica', 59.73389355742297)"
" ""Irkut BKT""","('Russia Bank', 68.18181818181817)","('IS Bank', 67.1957671957672)","('Kalmius Battalion', 63.46093993152816)","('Smert Battalion', 62.96296296296296)","('Industrialny Sberegatelny Bank', 62.27513227513227)"
" ""EKONFON""","('Black Sea Bank of Development and Reconstruction', 62.003968253968246)","('Black Sea Bank for Development and Reconstruction', 61.904761904761905)","(' Black Sea Bank for Development and Reconstruction', 61.904761904761905)","(' Genbank', 61.904761904761905)","('Bank Otkritie Financial Corporation P', 61.75461175461175)"
" ""Amtel""","('Army of the Southeast', 66.34920634920634)","('Army of the South-East', 66.06060606060606)","(' Integral', 65.83333333333333)","('Integral', 65.83333333333333)","('Almaz-Antey Corp', 63.75000000000001)"
" ""SK"" Palarm ""","(' Zaliv Shipyard', 66.4021164021164)","('Somali Battalion', 62.5)","('Vostok Battalion', 62.5)","('P Promsvyazbank', 60.52910052910053)","(""State Enterprise 'Sevastopol Commercial Seaport'"", 60.426731078904986)"
" ""Automatic Doors Tormax""","('Z Interautomatica', 65.69998628822158)","('Stroygazmontazh Corporation (SGM Group)', 65.203241519031)","(' ""United Aircraft Corporation""', 64.39228890209282)","('United Aircraft Corporation', 64.39228890209282)","('The Great Don Army', 64.30976430976432)"
 Khachaturian Anastasia Pavlovna,"('Donetskaya Narodnaya Respublika', 64.67741935483872)","('Kalmius Battalion', 63.93331526158851)","(""'Luganskaya Narodnaya Respublika' (LNR)"", 63.21556579621096)","(' Research and Production Corporation UralVagonZavod', 62.215053763440864)","('Industrial Savings Bank', 61.226040205703605)"
" ""Orenburg-Auto-Center""","("" 'Institute Giprostroymost - Saint-Petersburg'"", 65.68388330942133)","(""P 'Chernomorneftegaz'"", 64.98650472334683)","(' \'Foreign Economic Association\' ""Technopromexport""', 63.51851851851852)","("" 'Foreign Economic Association' 'Technopromexport'"", 63.51851851851852)","("" Foreign Economic Association 'Technopromexport'"", 63.51851851851852)"
 Pavlov A.A.,"('UralVagonZavod', 63.8095238095238)","('Battalion Gvardeysky', 63.57142857142857)","(' Almaz-Antey Corporation', 62.04968944099378)","('Peace To Luhansk Region', 62.04968944099378)","('P Promsvyazbank', 61.111111111111114)"
" ""Confectionery Production","('Almaz-Antey Defense Corporation', 69.62601395963026)","(' ""United Aircraft Corporation""', 69.44444444444443)","('United Aircraft Corporation', 69.44444444444443)","(' Research and Production Corporation UralVagonZavod', 64.91919191919192)","(' Almaz-Antey Corporation', 64.79468599033817)"
" ""Rus Motors Trade""","('P Mostotrest', 68.61111111111113)","('Mostotrest, P', 65.97222222222221)","(""Resort 'Nizhnyaya Oreanda'"", 63.888888888888886)","('Russian National Commercial Bank', 63.70192307692307)","("" 'Lenpromtransproyekt'"", 63.42703349282296)"
 Elovenko Stepan Sergeevich,"('O ""VO TPE""', 72.75641025641025)","('Donetsk Republic', 66.82692307692308)","(""So-called Donetsk People's Republic"", 66.35531135531136)","('Peace To Luhansk Region', 64.0796117778215)","('C VAD Aktsionernoe Obshchestvo VAD', 63.58220211161388)"
" ""ECOLODZHIS""","('Peace To Luhansk Region', 62.02898550724637)","(""Azovsky likerovodochny zavod'"", 59.232804232804234)","(' Research and Production Corporation UralVagonZavod', 56.99999999999999)","(""International Union of Public Associations 'Great Don Army'"", 55.99832915622388)","('Oplot Battalion', 55.55555555555556)"
" ""Garant Contract""","('Sparta Battalion', 66.38888888888889)","(' ""United Aircraft Corporation""', 65.45109211775878)","('United Aircraft Corporation', 65.45109211775878)","(""C 'Interavtomatika'"", 65.16339869281046)","('Bank Otkritie Financial Corporation P', 65.15229515229515)"
" ""Tulprof""","(' TPE', 65.07936507936508)","('Bulwark', 61.904761904761905)","("" 'Institute Giprostroymost - Saint-Petersburg'"", 61.20789779326364)","(""State Unitary Enterprise of the 'Republic of Crimea' 'Sparkling Wine Plant Novy Svet'"", 60.02351557907114)","(""State Unitary Enterprise of the 'Republic of Crimea' National Institute of Wine 'Magarach'"", 59.856035437430776)"
Alarm Motors UK,"('Army of the Southeast', 68.09523809523809)","('Army of the South-East', 67.37373737373737)","('Russian National Commercial Bank', 64.7420634920635)","('Battalion Gvardeysky', 64.62962962962962)","(' Almaz-Antey Corporation', 63.3816425120773)"
"FGBU ""Central UGMS""","('P Integral', 67.35294117647058)","(' Integral', 66.7016806722689)","('Integral', 66.7016806722689)","('VEB.RF', 64.2483660130719)","('Free Donbas', 63.50903997962821)"
" ""LINK AJ""","('Luganskiy Ekonomicheskiy Soyuz', 63.01587301587301)","('IS Bank', 61.904761904761905)","(' Integral', 60.11904761904761)","('Integral', 60.11904761904761)","('P Integral', 57.38095238095239)"
" ""GK"" Technologies Auto Service ""","('Peace To Luhansk Region', 71.20791108205295)","('Aktsionernoe Obshchestvo Genbank', 68.80411255411255)","('C VAD Aktsionernoe Obshchestvo VAD', 67.45607333842628)","(""So-called Donetsk People's Republic"", 66.83982683982683)","(' Feodosia Enterprise of oil', 64.87586487586489)"
 Churaneov Alexander Sergeevich,"('Crimean Republican Enterprise Azov Distillery Plant', 63.18627450980392)","('Peace To Luhansk Region', 62.7536231884058)","(""State enterprise 'Universal-Avia'"", 62.06093189964158)","('So-called ""Luhansk Guard""', 61.79951690821256)","('UralVagonZavod', 61.58730158730159)"
 Zakharenkova Olga,"('Z Interavtomatika (IA)', 68.52941176470587)","('Zarya Battalion', 65.16339869281046)","('Cossack National Guard', 62.4777183600713)","(' Almaz-Antey Corporation', 61.753080678911886)","('Battalion Gvardeysky', 61.11408199643494)"
" ""CHOLDPROMSERVIS""","(""P 'Chernomorneftegaz'"", 61.71539961013646)","('P Mostotrest', 60.83333333333333)","('Dobrolet', 60.55555555555555)","(' ""VO Technopromexport""', 59)","('Mostotrest, P', 57.777777777777786)"
 Savelyev Ivan Alekseevich,"('IS Bank', 64.34920634920634)","(""' 'Sparkling Wine Plant Novy Svet'"", 64.11111111111111)","(""State enterprise 'Universal-Avia'"", 63.7252090800478)","(""So-called Donetsk People's Republic"", 61.57142857142858)","('Black Sea Bank Development and Reconstruction', 60.46003898635478)"
 Terentyev Ivan Vladimirovich,"('The Great Don Army', 65.63492063492063)","(""Federal United Enterprise 'Crimea Railway'"", 63.13492063492063)","('Movement ""Novorossiya"" of Igor Strelkov', 62.54318228002438)","(""State enterprise 'Universal-Avia'"", 62.34740075996443)","('Movement Novorossiya of Ignor Strelkov', 62.09273182957394)"
" ""Print Mail""","('P Integral', 73.42857142857143)","('Mir Luganschine', 69.44444444444446)","(""C 'Interavtomatika'"", 67.35294117647058)","('Z Interautomatica', 67.35294117647058)","(' Integral', 67.22222222222221)"
" ""Store 01""","('Mostotrest, P', 69.44444444444446)","('Rostec', 68.61111111111113)","("" 'Mostotrest'"", 64.16666666666667)","(' TPE', 63.888888888888886)","(""Mostotrest;  'Mostotrest'"", 62.301587301587304)"
Galaeva Anastasia Aleksandrovna,"('Donetskaya Narodnaya Respublika', 65.49364613880742)","(""'Luganskaya Narodnaya Respublika' (LNR)"", 65.47652441060575)","('Russian National Commercial Bank', 62.33870967741936)","('Industrial Savings Bank', 61.226040205703605)","('Almaz-Antey Defense Corporation', 60.93189964157707)"
" ""INTEKHKOM""","(""C 'Interavtomatika'"", 67.32026143790848)","('Z Interautomatica', 67.32026143790848)","('Z Interavtomatika (IA)', 66.16402116402116)","(' Integral', 64.81481481481481)","('Integral', 64.81481481481481)"
" ""Veles""","(""People's Union"", 69.52380952380953)","('Movement ""Novorossiya"" of Igor Strelkov', 63.60360360360361)","('Movement Novorossiya of Ignor Strelkov', 63.50877192982457)","('Vneshekonombank', 60.55555555555555)","("" 'VO TPE'"", 57.777777777777786)"
" ""Synthesoyl""","(' Integral', 63.33333333333333)","('Integral', 63.33333333333333)","(' TPE', 62.22222222222222)","("" 'Mostotrest'"", 60.0)","('Rostec', 60.0)"
 SAYTGALIN Rustam Zagidulovich,"('Somali Battalion', 66.6871921182266)","('Kalmius Battalion', 66.65314401622719)","('Cossack National Guard', 64.90564877988812)","('Zarya Battalion', 64.34423813734159)","(""Prizrak Battalion 'Ghost' Brigade"", 64.17889365609054)"
ROLING ROLLS ,"(""Prizrak Battalion 'Ghost' Brigade"", 61.86379928315412)","(""Prizrak Battalion 'Ghost' Battalion"", 61.21212121212122)","('Battalion Gvardeysky', 60.55555555555555)","('P Integral', 58.88888888888889)","('Mir Luganschine', 58.80952380952381)"
" ""K.S.Avto""","(' CB IS Bank', 63.33333333333333)","('Vostok Battalion', 62.797619047619044)","('C VAD Aktsionernoe Obshchestvo VAD', 62.00980392156863)","('P SOVCOMBANK', 61.38888888888889)","('Black Sea Bank Development and Reconstruction', 60.092592592592595)"
" ""Kolpakprof""","(""Azovsky likerovodochny zavod'"", 60.238095238095234)","('Black Sea Bank for Development and Reconstruction', 58.344671201814066)","(' Black Sea Bank for Development and Reconstruction', 58.344671201814066)","('P Sberbank of Russia', 57.777777777777786)","('Bulwark', 57.38095238095239)"
" ""three d plus""","('Donetsk Republic', 68.61111111111113)","('Free Donbas', 68.18181818181817)","('Free Donbass', 66.66666666666666)","('Peace To Luhansk Region', 65.60386473429952)","(' Research and Production Corporation UralVagonZavod', 65.16161616161617)"
" ""MON""","('Movement ""Novorossiya"" of Igor Strelkov', 69.36936936936937)","('Movement Novorossiya of Ignor Strelkov', 69.2982456140351)","("" 'Mostotrest'"", 62.22222222222222)","('Free Donbass', 61.11111111111111)","('P Mostotrest', 61.11111111111111)"
" ""Dallak""","(""So-called 'Lugansk People's Republic'"", 66.82539682539682)","('Bulwark', 64.28571428571429)","('So-called ""Luhansk Guard""', 61.69082125603865)","('So-called ""Lugansk Guard""', 61.69082125603865)","('Peace To Luhansk Region', 61.35265700483091)"
" ""TENTENT.RU""","(""State enterprise 'Universal-Avia'"", 67.41935483870968)","(""State Enterprise 'Sparkling Wine Plant 'Novy Svet'"", 62.30890464933019)","(' TPE', 62.22222222222222)","('Russian Direct Investment Fund', 62.22222222222222)","(""State Unitary Enterprise of the 'Republic of Crimea' 'UNIVERSAL-AVIA'"", 61.79487179487179)"
" ""AXEL-MOTORS""","('P Mostotrest', 73.98989898989899)","('Almaz-Antey Corp', 65.9090909090909)","('Army of the Southeast', 63.78066378066377)","('Army of the South-East', 63.131313131313135)","(' Almaz-Antey Corporation', 62.53842775581906)"
VIIONT ,"("" 'VO TPE'"", 66.66666666666666)","(' Integral', 62.5)","('Integral', 62.5)","('P Integral', 60.0)","(""'Federativnoye Gosudarstvo Novorossiya'"", 58.94894894894895)"
UFK in Moscow (l / sch 20736x02520,"('USC', 69.89247311827957)","('UAC', 57.70609318996416)","('P Mostotrest', 56.451612903225815)","(""Sobol'"", 55.96774193548387)","('P USC', 55.96774193548387)"
Bibi ,"(' CB IS Bank', 68.33333333333333)","('P Sberbank (Public  Sberbank)', 62.17948717948718)","('Bank Otkritie Financial Corporation P', 61.03603603603604)","("" 'The Berkatit-Tommot-Yakutsk Railway Line's Construction Directorate'"", 59.82587064676616)","('IS Bank', 59.523809523809526)"
" ""Group of Companies","('P SOVCOMBANK', 62.03703703703704)","("" 'Institute Giprostroymost - Saint-Petersburg'"", 61.38775971093043)","(' Feodosia Enterprise of oil', 61.25356125356126)","('Army of the Southeast', 61.05820105820106)","('Mir Luganschine', 60.74074074074075)"
