,0,1,2,3,4
" ""Lyksklin""","("" 'The Berkatit-Tommot-Yakutsk Railway Line's Construction Directorate'"", 58.146766169154226)","('Black Sea Bank Development and Reconstruction', 57.22222222222223)","('Black Sea Bank of Development and Reconstruction', 56.94444444444445)","('Black Sea Bank for Development and Reconstruction', 56.859410430839006)","(' Black Sea Bank for Development and Reconstruction', 56.859410430839006)"
"S ""MedExpress""","(""So-called Donetsk People's Republic"", 63.2010582010582)","(""So-called 'Lugansk People's Republic'"", 63.2010582010582)","(""'Federal State of Novorossiya'"", 61.64021164021164)","('Free Donbass', 61.111111111111114)","(""State enterprise 'Universal-Avia'"", 60.60334528076464)"
" ""Trial Market""","('Russia Bank', 68.18181818181817)","('Industrialny Sberegatelny Bank', 65.55555555555556)","('Prizrak Brigade', 65.0)","('Almaz-Antey ', 64.46608946608947)","('Battalion Gvardeysky', 64.44444444444444)"
" ""TS-MEDIA""","(' TPE', 63.888888888888886)","('Smert Battalion', 63.76984126984128)","(""Resort 'Nizhnyaya Oreanda'"", 61.111111111111114)","('First Crimean Insurance Company', 60.50307219662058)","(' ""United Aircraft Corporation""', 60.18518518518518)"
" ""EKODAR-M""","('Black Sea Bank for Development and Reconstruction', 63.775510204081634)","(' Black Sea Bank for Development and Reconstruction', 63.775510204081634)","(' Feodosia Enterprise of oil', 60.47008547008548)","('Aktsionernoe Obshchestvo Genbank', 59.02777777777778)","('Vneshekonombank', 58.88888888888889)"
" ""Kombinat.","('Sovkombank', 67.22222222222221)","('Somali Battalion', 65.27777777777779)","('Kalmius Battalion', 64.54248366013073)","('P SOVCOMBANK', 61.38888888888889)","('Promsvyazbank P', 58.611111111111114)"
" ""Faer""","(' Feodosia Enterprise of oil', 63.46153846153846)","(""'Federal State of Novorossiya'"", 63.095238095238095)","('First Crimean Insurance Company', 62.634408602150536)","('Fedosia Oil Products Supply Company', 62.142857142857146)","(""'Federativnoye Gosudarstvo Novorossiya'"", 61.93693693693694)"
" ""Magistral North","('Smert Battalion', 70.1010101010101)","('Somali Battalion', 65.5429292929293)","('Mir Luganschine', 64.44444444444444)","('Kalmius Battalion', 64.19489007724302)","('Industrialny Sberegatelny Bank', 63.93939393939393)"
" ""SOLAR ELS SPB""","('Sberbank of Russia', 67.49287749287748)","('Donetskaya Narodnaya Respublika', 63.06038047973532)","('Industrial Savings Bank', 62.04632726371857)","(""Donbass People's Militia"", 61.66472416472416)","('Free Donbass', 61.20268620268621)"
Ip Duda Ivan Pavlovich,"('P UAC', 66.06060606060606)","('P United Shipbuilding Corporation', 62.53713606654783)","('VTB Bank (Public )', 60.7070707070707)","(' ""United Shipbuilding Corporation""', 60.19672531769306)","('Industrial Savings Bank', 59.05036991993514)"
P Airlines UTair,"('P Sberbank of Russia', 67.22222222222221)","('Z Interautomatica', 67.10784313725492)","('P Sberbank (Public  Sberbank)', 66.82692307692308)","('Peace To Luhansk Region', 66.43673355629876)","('P United Shipbuilding Corporation', 64.73665223665223)"
" ""Company Brown Lizard""","('Concern Almaz-Antey', 66.05263157894737)","('Cossack National Guard', 64.44055944055944)","('Somali Battalion', 64.16666666666667)","(""P 'Chernomorneftegaz'"", 63.274853801169584)","('Dobrolet', 62.5)"
" ""Naudit and Co.""","('P United Shipbuilding Corporation', 66.58896658896658)","(' ""United Shipbuilding Corporation""', 64.27550943679977)","('Industrial Savings Bank', 63.467112597547384)","('25 January Committee', 63.01282051282051)","('Almaz-Antey Corp', 62.17948717948718)"
Concentrant Express ,"('Concern Almaz-Antey', 67.10526315789474)","("" 'Lenpromtransproyekt'"", 67.10526315789474)","('Russian Direct Investment Fund', 65.2046783625731)","(' \'Foreign Economic Association\' ""Technopromexport""', 63.4307992202729)","("" 'Foreign Economic Association' 'Technopromexport'"", 63.4307992202729)"
"P ""MGTS""","('P USC', 76.0)","('P Mostotrest', 68.33333333333333)","('P Promsvyazbank', 64.44444444444444)","("" 'Lenpromtransproyekt'"", 62.57309941520468)","('Peace To Luhansk Region', 61.35265700483091)"
" ""MONOLITLBROKSTROY""","("" 'Mostotrest'"", 65.63025210084034)","('Movement ""Novorossiya"" of Igor Strelkov', 62.842933431168724)","('Movement Novorossiya of Ignor Strelkov', 62.53473049138684)","('Mostotrest, P', 61.74136321195145)","("" 'Lenpromtransproyekt'"", 61.24871001031992)"
" ""AVTOSS""","('Bank Rossiya', 66.66666666666666)","('VTB', 66.66666666666666)","(""'Federativnoye Gosudarstvo Novorossiya'"", 66.51651651651652)","('Bank of Russia', 65.07936507936508)","('C VAD Aktsionernoe Obshchestvo VAD', 61.43790849673203)"
