Supplier Name,Match1,Score1,Match2,Score2,Match3,Score3,Match4,Score4,Match5,Score5
"""ECHO-stamp",Rostec,64.44444444444444,"O ""VO TPE",63.33333333333333,Peace To Luhansk Region,61.56199677938808,Stroygazmontazh Corporation (SGM Group,60.33033033033033,The Great Don Army,60.105820105820094
"""Rem-n",Free Donbas,72.12121212121212,Free Donbass,71.11111111111111,Concern Almaz-Antey,68.77192982456141,First Crimean Insurance,67.2463768115942,Resort 'Nizhnyaya Oreanda,65.55555555555556
"""NTK"" O-mega",Integral,70.83333333333334,Bank of Russia,67.6190476190476,"O ""VO TPE",64.16666666666667,Bank Rossiya,63.88888888888889,Bank Otkritie Financial,63.26086956521739
"""Advertising agency Zen Media",Concern Almaz-Antey,67.95112781954886,Internet Research Agency,66.7989417989418,Federal United Enterprise 'Crimea Railway,65.73593073593074,Industrialny Sberegatelny Bank,64.7827903091061,Industrial Savings Bank,64.48361953477043
TTS-SERVICE,State enterprise 'Universal-Avia,64.38905180840665,Aktsionernoe Obshchestvo Genbank,64.0530303030303,State Enterprise 'Sevastopol Commercial Seaport,62.516469038208164,Internet Research Agency,61.994949494949495,Donetsk Republic,61.74242424242424
"Company ""SIMPL-SPB",Donbas People's Militia,63.14293833475419,Cossack National Guard,60.91305208952268,Donbass People's Militia,59.640522875817005,Stroygazmontazh Corporation (SGM Group,59.34022257551669,State Unitary Enterprise of the 'Republic of Crimea' 'Sparkling Wine Plant Novy Svet,58.79024449285887
"Association ""Non-commercial",Russian National Commercial Bank,73.73536789297658,First Crimean Insurance,68.00118040527248,Bank Otkritie Financial,66.61789297658864,"'Foreign Economic Association' ""Technopromexport",66.6025641025641,'Foreign Economic Association' 'Technopromexport,66.6025641025641
Yakovlev S. A.,Azovsky likerovodochny zavod,67.06349206349206,Bank Rossiya,61.111111111111114,'Luganskaya Narodnaya Respublika' (LNR,60.63492063492063,Almaz-Antey Defense,60.296574770258985,Bank of Russia,59.92063492063493
"""Arm-Motorsport",Army of the Southeast,65.34391534391534,Mostotrest; 'Mostotrest,64.86291486291486,Army of the South-East,64.69456469456469,"""VO Technopromexport",64.68671679197995,'Lenpromtransproyekt,64.68671679197995
"""Krikunov and business partners",Bank of Russia,68.47374847374846,Gas Industry Insurance Company SOGAZ,67.14170692431561,'Luganskaya Narodnaya Respublika' (LNR,66.30089717046239,Russian Direct Investment Fund,65.71428571428571,Aktsionernoe Obshchestvo Genbank,64.72222222222221
"""RUST",Russian Direct Investment Fund,79.77777777777779,Russian National Commercial Bank,79.58333333333334,Rostec,77.5,USC,72.22222222222221,Russia Bank,67.42424242424242
"""Project Bureau Gradography",ROSNEFT AERO,66.16809116809117,Prizrak Battalion 'Ghost' Brigade,61.6430691383253,The Great Don Army,61.25356125356126,Internet Research Agency,61.20268620268621,Research and Production Corporation UralVagonZavod,61.053613053613056
"ANO DPO ""UNITAL-M",Donbas People's Militia,68.50414078674947,Donbass People's Militia,67.65873015873018,Bank of Russia,64.88095238095238,GEOPOLITICA,64.01515151515152,Research and Production Corporation UralVagonZavod,62.3095238095238
"""ENERGOACTIVE",ORIENTAL REVIEW,63.51851851851852,Mir Luganschine,63.33333333333333,VAD Aktsionernoe Obshchestvo VAD,63.22601010101009,"'Foreign Economic Association' ""Technopromexport",62.94612794612794,'Foreign Economic Association' 'Technopromexport,62.94612794612794
"""NPP"" Ecotrom","""VO Technopromexport",71.18022328548645,"O ""VO Technopromexport",66.17604617604617,Luhansk Economic Union,65.15151515151516,ROSNEFT AERO,64.46608946608947,TPE,61.61616161616161
"""Laboratory Technologies","""VO Technopromexport",66.27983000980713,Oplot Battalion,65.67818654775176,Peace To Luhansk Region,65.12681159420289,Battalion Gvardeysky,65.05175983436854,'Federal State of Novorossiya,64.48361953477043
"""Office for office",Fedosia Oil Products Supply,59.391298606984876,"""VO Technopromexport",58.88802889576884,"'Foreign Economic Association' ""Technopromexport",58.196748784984074,'Foreign Economic Association' 'Technopromexport,58.196748784984074,Foreign Economic Association 'Technopromexport,58.196748784984074
"""SKOMEIR",Luhansk Economic Union,65.44011544011545,Otkritie,64.64285714285715,Smert Battalion,61.269841269841265,Somali Battalion,60.71428571428571,Mostotrest,60.47619047619048
"""Alta ru",Battalion Gvardeysky,66.34920634920634,Almaz-Antey,64.50216450216449,Industrial Savings Bank,62.52587991718427,Bulwark,61.904761904761905,Bank of Russia,61.904761904761905
"""Alta-Soft",Somali Battalion,67.12962962962963,Almaz-Antey,67.003367003367,Battalion Gvardeysky,66.16402116402116,Tactical Missiles,63.46093993152816,'Federal State of Novorossiya,62.56613756613757
MTR Design,Smert Battalion,65.27777777777779,TPE,62.22222222222222,Free Donbas,60.4040404040404,Sparta Battalion,60.27777777777777,The Great Don Army,60.105820105820094
"""Consul",Luhansk Economic Union,64.64646464646465,Donetsk Republic,63.888888888888886,Concern Almaz-Antey,62.57309941520468,Cossack National Guard,62.02020202020202,Donbas People's Militia,61.35265700483091
"""ATOS AYTI Solyuzens & Ser",Army of the South-East,68.99551066217734,Army of the Southeast,66.77248677248677,'Federativnoye Gosudarstvo Novorossiya,66.67728334395001,Cossack National Guard,66.35307321581831,Gas Industry Insurance Company SOGAZ,65.71268237934905
UFK in Moscow (Rosreez Management,USC,69.79166666666666,Gas Industry Insurance Company SOGAZ,66.01430976430976,"'Foreign Economic Association' ""Technopromexport",65.57336182336182,'Foreign Economic Association' 'Technopromexport,65.57336182336182,Foreign Economic Association 'Technopromexport,65.57336182336182
suphen Oleg Anatolyevich,Peace To Luhansk Region,71.45732689210949,People's Union,69.52075702075703,So-called 'Lugansk People's Republic,64.36507936507935,Donetsk Republic,63.888888888888886,' 'Sparkling Wine Plant Novy Svet,63.51851851851852
"""Russian fire",Russian Direct Investment Fund,85.66666666666667,Russia Bank,85.37878787878789,Russian National Commercial Bank,83.39015151515153,Mir Luganschine,70.92592592592592,ROSNEFT AERO,69.44444444444443
"""Neotaip",GEOPOLITICA,65.62770562770562,ROSNEFT AERO,64.36507936507937,'VO TPE,64.28571428571429,'Interavtomatika,64.12698412698413,"""United Aircraft",61.58730158730159
"""Karlink",Russia Bank,65.62770562770562,' 'Sparkling Wine Plant Novy Svet,63.01587301587301,Mir Luganschine,61.58730158730159,Kalmius Battalion,60.22408963585434,Otkritie,60.11904761904761
"""OLD Skull Avto Group",So-called 'Lugansk People's Republic,64.13165266106442,"So-called ""Luhansk Guard",62.670807453416145,So-called Donetsk People's Republic,62.17086834733894,Fedosia Oil Products Supply,61.296296296296305,Cossack National Guard,60.4040404040404
"""PRESINFORM",RDIF,68.33333333333333,ROSNEFT AERO,66.58730158730158,TPE,62.22222222222222,'Lenpromtransproyekt,61.53508771929824,'Chernomorneftegaz,60.86834733893558
"""Rosseti Moscow region",Rostec,79.44444444444446,ROSNEFT AERO,68.91534391534391,"Movement ""Novorossiya"" of Igor Strelkov",65.15801515801516,Movement Novorossiya of Ignor Strelkov,64.73127262600947,"""VO Technopromexport",64.03129034707983
"""Business lines",Mir Luganschine,63.650793650793645,Crimean Republican Enterprise Azov Distillery Plant,61.414565826330524,Luganskiy Ekonomicheskiy Soyuz,61.349206349206355,Industrialny Sberegatelny Bank,61.349206349206355,Russian National Commercial Bank,60.892857142857146
"""Spectrum Electro Service",Black Sea Bank Development and Reconstruction,63.76984126984128,State Enterprise 'Sevastopol Commercial Seaport,63.431677018633536,State enterprise 'Universal-Avia,62.873357228195935,Peace To Luhansk Region,61.16287094547964,'Federal State of Novorossiya,60.912698412698404
"""Maximum Primorsky",Somali Battalion,57.59803921568628,Bank Rossiya,56.97945845004669,Kalmius Battalion,56.02240896358543,Narodny Soyuz,55.483731954320184,Mir Luganschine,54.29738562091503
"""Law.ru",Bank of Russia,65.07936507936508,Bulwark,64.28571428571429,Fedosia Oil Products Supply,60.617283950617285,State enterprise 'Universal-Avia,59.85663082437276,Mir Luganschine,58.88888888888889
Notary Zdvizhkova Ekaterina,Resort 'Nizhnyaya Oreanda,67.5925925925926,Z Interavtomatika (IA,67.25308641975309,'Federativnoye Gosudarstvo Novorossiya,63.892463892463894,VAD Aktsionernoe Obshchestvo VAD,63.858024691358025,Zarya Battalion,63.703703703703695
"""Ivi-Time",'VO TPE,72.22222222222221,VTB,63.888888888888886,First Crimean Insurance,63.121118012422365,Gosudarstvenoye predpriyatiye Agrofirma 'Magarach' nacionalnogo instituta vinograda i vina 'Magarach,61.082474226804116,Z Interavtomatika (IA,59.88095238095238
"""AST - INTERNESHNL INVAERRMENT",Russian Direct Investment Fund,69.8941798941799,State enterprise 'Universal-Avia,65.96688854753371,State Enterprise 'Sparkling Wine Plant 'Novy Svet,65.92802731809824,Internet Research Agency,65.74074074074073,"'Foreign Economic Association' ""Technopromexport",64.27267847557702
"ANO ""Moscow Regional Center",Movement Novorossiya of Ignor Strelkov,68.7154950312845,"'Foreign Economic Association' ""Technopromexport",67.991452991453,'Foreign Economic Association' 'Technopromexport,67.991452991453,Foreign Economic Association 'Technopromexport,67.991452991453,"Movement ""Novorossiya"" of Igor Strelkov",66.47691647691649
Immortal Ivan Georgievich,ORIENTAL REVIEW,64.17094017094017,Integral,62.3095238095238,Prizrak Battalion 'Ghost' Brigade,61.87335722819595,'VO TPE,61.111111111111114,ROSNEFT AERO,61.111111111111114
"""Keramika",Sberbank,66.66666666666666,Kalmius Battalion,63.97058823529412,Concern Almaz-Antey,62.93859649122807,Bank Rossiya,61.38888888888889,'Interavtomatika,61.0
"""Pestitors.net",Mostotrest,72.17948717948718,'Mostotrest,72.17948717948718,"Mostotrest, P",70.29914529914531,Mostotrest; 'Mostotrest,64.84737484737485,TPE,63.24786324786324
"""EPOPSI TEKNOLODZHIS",People's Union,69.7311460469355,Fedosia Oil Products Supply,64.49742590093467,Feodosia Enterprise of oil,63.9386928860613,Donetsk Republic,63.42703349282296,Luganskiy Ekonomicheskiy Soyuz,62.98245614035088
"""SOLYUSHNZLAB",Sobol,61.66666666666667,Promsvyazbank,61.20268620268621,"So-called ""Luhansk Guard",60.26570048309178,ZELENODOLSK SHYARD,57.870370370370374,SOVCOMBANK,57.22222222222223
"""PTK Mir",Donetsk Republic,60.71428571428571,Otkritie,60.71428571428571,Luhansk Economic Union,58.44155844155844,Gosudarstvenoye predpriyatiye Agrofirma 'Magarach' nacionalnogo instituta vinograda i vina 'Magarach,58.41106201930945,Sberbank (Public Sberbank,57.420634920634924
